Timestamp,Circuit.feeder_idt629-ihs0_1247x__LineLosses
2020-01-01 00:00:00,(7.696948884007945+11.830469909662213j)
2020-01-01 00:15:00,(6.822916220722323+8.330528057668122j)
2020-01-01 00:30:00,(7.373918561609555+10.678815446720481j)
2020-01-01 00:45:00,(7.411271131508691+10.767102904147224j)
2020-01-01 01:00:00,(6.53875314321415+7.2467477557431526j)
2020-01-01 01:15:00,(7.153750069283099+9.812106281412584j)
2020-01-01 01:30:00,(7.1252681239276665+9.659333607592282j)
2020-01-01 01:45:00,(6.259827485238882+6.167438256722101j)
2020-01-01 02:00:00,(6.8985384021794145+8.843499833474436j)
2020-01-01 02:15:00,(6.951315820061311+9.006398774414418j)
2020-01-01 02:30:00,(6.208953386885899+5.990854269328511j)
2020-01-01 02:45:00,(6.996730860689517+9.242019917905687j)
2020-01-01 03:00:00,(7.227398180870828+10.08359466119629j)
2020-01-01 03:15:00,(6.66384766774074+7.765404100495643j)
2020-01-01 03:30:00,(7.6748581490817305+11.826403430244834j)
2020-01-01 03:45:00,(8.088803291358005+13.332309578400578j)
2020-01-01 04:00:00,(7.532361475809799+11.049961780290058j)
2020-01-01 04:15:00,(8.562650452887945+15.240008320096228j)
2020-01-01 04:30:00,(9.07702758440667+17.08398564128373j)
2020-01-01 04:45:00,(8.75828431782728+15.72353075907219j)
2020-01-01 05:00:00,(9.895069841785018+20.058931865737264j)
2020-01-01 05:15:00,(10.61619404526744+22.965304238453673j)
2020-01-01 05:30:00,(10.36841334711576+22.106283146022765j)
2020-01-01 05:45:00,(11.60090367427241+27.313319559270436j)
2020-01-01 06:00:00,(12.890272913558583+32.17527418014904j)
2020-01-01 06:15:00,(13.004065967156341+32.800302621242636j)
2020-01-01 06:30:00,(14.235573404565395+38.254235785241725j)
2020-01-01 06:45:00,(14.833995368283922+40.65131737604234j)
2020-01-01 07:00:00,(14.544895413907915+39.67628468823729j)
2020-01-01 07:15:00,(14.90904899864383+40.96285835570299j)
2020-01-01 07:30:00,(14.811779131721632+40.942868406401224j)
2020-01-01 07:45:00,(14.265922074447102+39.23508414461895j)
2020-01-01 08:00:00,(13.631119011237123+36.97668132604947j)
2020-01-01 08:15:00,(12.848081104576723+34.05782502210962j)
2020-01-01 08:30:00,(11.551543003154777+29.051768206523846j)
2020-01-01 08:45:00,(12.045203895734376+31.24613024172591j)
2020-01-01 09:00:00,(12.031393178030921+31.460803772788967j)
2020-01-01 09:15:00,(11.239110292000692+28.32482570595772j)
2020-01-01 09:30:00,(11.313475381982462+28.68790582336336j)
2020-01-01 09:45:00,(11.255587965874595+28.438479064159424j)
2020-01-01 10:00:00,(10.79832839732787+26.61627888059183j)
2020-01-01 10:15:00,(10.77890701865013+26.639739033944895j)
2020-01-01 10:30:00,(10.611447525910647+25.94950303891771j)
2020-01-01 10:45:00,(9.890791239327289+23.08184159971803j)
2020-01-01 11:00:00,(9.907349001677591+23.174943604014477j)
2020-01-01 11:15:00,(9.673440321112478+22.193731450257445j)
2020-01-01 11:30:00,(9.196631792618636+20.166623638608122j)
2020-01-01 11:45:00,(9.497031220698824+21.21069078054832j)
2020-01-01 12:00:00,(9.346254223726824+20.516819569020655j)
2020-01-01 12:15:00,(8.713642802273014+17.631595924218985j)
2020-01-01 12:30:00,(8.811316081401955+18.080441925778718j)
2020-01-01 12:45:00,(8.55878665096645+17.157410752383118j)
2020-01-01 13:00:00,(7.926800704567683+14.731751835608335j)
2020-01-01 13:15:00,(8.28599033032285+16.40936240180808j)
2020-01-01 13:30:00,(8.003719095447327+15.171796268336863j)
2020-01-01 13:45:00,(7.921517476936+14.788648622094904j)
2020-01-01 14:00:00,(8.484627175855126+17.043246398253885j)
2020-01-01 14:15:00,(8.55207088709031+17.41442464334138j)
2020-01-01 14:30:00,(8.508605889122673+17.311643275440538j)
2020-01-01 14:45:00,(8.609394800546744+17.724636631418402j)
2020-01-01 15:00:00,(8.640140000229694+17.83912661808471j)
2020-01-01 15:15:00,(8.591368644515368+17.6638035534003j)
2020-01-01 15:30:00,(9.0542144487353+19.58578649078592j)
2020-01-01 15:45:00,(9.124116189903113+19.906741659257484j)
2020-01-01 16:00:00,(9.376496389872319+20.714571177647713j)
2020-01-01 16:15:00,(10.272308436981218+24.765703453706884j)
2020-01-01 16:30:00,(10.039012995448891+23.935268888641776j)
2020-01-01 16:45:00,(10.855307519339807+27.472201246101363j)
2020-01-01 17:00:00,(11.567976769640318+30.336780118279087j)
2020-01-01 17:15:00,(11.560480234560448+30.42212143758837j)
2020-01-01 17:30:00,(12.27889577068176+33.20692953910213j)
2020-01-01 17:45:00,(12.68373423756897+34.837680693572274j)
2020-01-01 18:00:00,(12.764305734141502+35.199555257846356j)
2020-01-01 18:15:00,(11.61760635107206+30.392364193257002j)
2020-01-01 18:30:00,(10.824348084744768+26.95157244138287j)
2020-01-01 18:45:00,(9.178423529045842+19.63830416138802j)
2020-01-01 19:00:00,(7.544317264414349+12.601641405548236j)
2020-01-01 19:15:00,(7.26825252469786+11.413186047886239j)
2020-01-01 19:30:00,(6.838972416333629+9.532518907040012j)
2020-01-01 19:45:00,(6.634083317889155+8.468440771565714j)
2020-01-01 20:00:00,(6.7114185347421005+8.545936541348993j)
2020-01-01 20:15:00,(6.786413682847503+8.704979461931053j)
2020-01-01 20:30:00,(6.868077163185366+9.091092069822299j)
2020-01-01 20:45:00,(7.249976780658121+10.566588114513122j)
2020-01-01 21:00:00,(7.334606285317958+10.774751436468222j)
2020-01-01 21:15:00,(7.146853436490334+9.843785438451857j)
2020-01-01 21:30:00,(7.179217104045821+9.888986019462852j)
2020-01-01 21:45:00,(7.160781850904752+9.796678213637115j)
2020-01-01 22:00:00,(7.017760459068711+9.154416447152249j)
2020-01-01 22:15:00,(7.2218693548501305+9.969083525694275j)
2020-01-01 22:30:00,(7.270362941362044+10.170757500216835j)
2020-01-01 22:45:00,(7.094966577259647+9.387472251383715j)
2020-01-01 23:00:00,(7.097272890312614+9.498948663666678j)
2020-01-01 23:15:00,(7.108779676147593+9.57080537526266j)
2020-01-01 23:30:00,(6.9059387818504865+8.707377490824449j)
2020-01-01 23:45:00,(6.956522513489798+8.869323813387219j)
