Timestamp,Circuit.feeder_rdt137-rhs1_1247x__LineLosses
2020-01-01 00:00:00,(22.678782195303153-148.22103370049973j)
2020-01-01 00:15:00,(25.968270170737334-143.30108248151384j)
2020-01-01 00:30:00,(26.04746491670297-142.86671537874923j)
2020-01-01 00:45:00,(23.808011464500794-146.06901710333887j)
2020-01-01 01:00:00,(21.149935440689752-148.4532782560108j)
2020-01-01 01:15:00,(21.23361376742347-148.23789320822317j)
2020-01-01 01:30:00,(20.92609775346039-148.74844643659472j)
2020-01-01 01:45:00,(22.62591665582617-146.24093195686382j)
2020-01-01 02:00:00,(23.692051959619995-144.59579192950576j)
2020-01-01 02:15:00,(25.000512959031507-142.61007342572574j)
2020-01-01 02:30:00,(28.46867091466336-137.27945989056585j)
2020-01-01 02:45:00,(31.627255318882643-132.50906869300513j)
2020-01-01 03:00:00,(31.89549201974228-131.84993183493933j)
2020-01-01 03:15:00,(35.19719908678476-127.209715216188j)
2020-01-01 03:30:00,(38.35387556564517-122.70725050356145j)
2020-01-01 03:45:00,(39.99178498884719-120.65164941401537j)
2020-01-01 04:00:00,(43.47887402152893-115.99853744107163j)
2020-01-01 04:15:00,(48.11333118256811-109.61069690957945j)
2020-01-01 04:30:00,(52.67898328524161-103.55158362886239j)
2020-01-01 04:45:00,(56.012970488831485-99.25544439202798j)
2020-01-01 05:00:00,(63.200999523535366-89.15633985087553j)
2020-01-01 05:15:00,(69.66398937690582-80.31859030638387j)
2020-01-01 05:30:00,(77.91175417118738-69.26058084061162j)
2020-01-01 05:45:00,(87.79170654178866-56.29555068176913j)
2020-01-01 06:00:00,(101.84157320800944-37.00259487274184j)
2020-01-01 06:15:00,(110.49800533110525-25.46727692393949j)
2020-01-01 06:30:00,(116.29252947417565-17.67227253124121j)
2020-01-01 06:45:00,(120.89499634177909-11.238349109640222j)
2020-01-01 07:00:00,(122.77449434856068-8.720703845647298j)
2020-01-01 07:15:00,(117.23709370244156-16.392812495315486j)
2020-01-01 07:30:00,(118.1244589578935-15.012459776423428j)
2020-01-01 07:45:00,(112.26383856117695-22.67588136176763j)
2020-01-01 08:00:00,(109.45764714163748-26.63356549361683j)
2020-01-01 08:15:00,(107.82913982113178-29.133541223659915j)
2020-01-01 08:30:00,(100.2462544091642-38.48977889944976j)
2020-01-01 08:45:00,(94.09813092746666-46.81905067935019j)
2020-01-01 09:00:00,(90.42430103046598-51.228476569975j)
2020-01-01 09:15:00,(86.3870124736166-56.65811284223871j)
2020-01-01 09:30:00,(79.54244745706383-66.04819544533922j)
2020-01-01 09:45:00,(76.88084448902305-69.41792155750589j)
2020-01-01 10:00:00,(85.25816668689956-59.81917814518375j)
2020-01-01 10:15:00,(86.2187396991922-58.99835547506821j)
2020-01-01 10:30:00,(81.57845867325459-64.64576078906387j)
2020-01-01 10:45:00,(80.5080213867522-66.23931406570735j)
2020-01-01 11:00:00,(77.97270149591647-68.90892350360035j)
2020-01-01 11:15:00,(76.48079395852847-70.60914603415866j)
2020-01-01 11:30:00,(69.15103251770384-80.43971838464682j)
2020-01-01 11:45:00,(69.194742001766-80.08243238804499j)
2020-01-01 12:00:00,(71.40334842826307-77.44375507793634j)
2020-01-01 12:15:00,(69.08672212447898-80.45367058927174j)
2020-01-01 12:30:00,(65.37174893394292-85.47937463603867j)
2020-01-01 12:45:00,(64.03257574016787-87.20006047707894j)
2020-01-01 13:00:00,(61.11851486921649-91.36382827084302j)
2020-01-01 13:15:00,(61.23658050198242-91.11992055405936j)
2020-01-01 13:30:00,(59.07901075256181-93.93177787218131j)
2020-01-01 13:45:00,(58.14018455825701-95.19853842603197j)
2020-01-01 14:00:00,(53.84892677537497-101.21779236745115j)
2020-01-01 14:15:00,(52.969222643470694-102.46360716762757j)
2020-01-01 14:30:00,(54.059403647317716-100.86370449449818j)
2020-01-01 14:45:00,(53.59913291672927-101.38567771403935j)
2020-01-01 15:00:00,(53.70499370018962-101.06538204439524j)
2020-01-01 15:15:00,(53.17592888222917-101.65135569422324j)
2020-01-01 15:30:00,(55.0502490005941-99.04150089620039j)
2020-01-01 15:45:00,(57.80985473339018-95.05122134631368j)
2020-01-01 16:00:00,(59.00172340905678-93.42309033448021j)
2020-01-01 16:15:00,(59.96987684306121-92.08127329806877j)
2020-01-01 16:30:00,(62.950221938766575-87.69321650144319j)
2020-01-01 16:45:00,(64.95193877160568-84.62779485916285j)
2020-01-01 17:00:00,(70.8334799812458-76.33544793299906j)
2020-01-01 17:15:00,(77.64258703516116-67.26216098410679j)
2020-01-01 17:30:00,(81.8277382309853-61.479330917653016j)
2020-01-01 17:45:00,(81.77713848367515-61.4678815626594j)
2020-01-01 18:00:00,(89.65415086170259-51.394952511839165j)
2020-01-01 18:15:00,(87.80233900553813-53.82279245127685j)
2020-01-01 18:30:00,(90.0121612415424-50.70959440794392j)
2020-01-01 18:45:00,(95.20551558478508-43.538189146997716j)
2020-01-01 19:00:00,(97.93579201134816-40.0266499167898j)
2020-01-01 19:15:00,(97.01674477837527-41.25587738045633j)
2020-01-01 19:30:00,(98.84587925090045-38.73911094825359j)
2020-01-01 19:45:00,(96.163481933047-42.709452788709264j)
2020-01-01 20:00:00,(90.78345350063326-50.659669639826774j)
2020-01-01 20:15:00,(94.32361588410218-46.27856195075615j)
2020-01-01 20:30:00,(95.77741405774911-44.56944511832076j)
2020-01-01 20:45:00,(91.68080397938225-50.44884909400462j)
2020-01-01 21:00:00,(81.52713724669029-65.07881943650446j)
2020-01-01 21:15:00,(85.17164915443946-66.77463634010812j)
2020-01-01 21:30:00,(67.2864128451352-88.20503813236176j)
2020-01-01 21:45:00,(58.18023595259476-100.23745818498541j)
2020-01-01 22:00:00,(42.82164795338182-120.02528896475042j)
2020-01-01 22:15:00,(43.067486189073165-122.67199985011499j)
2020-01-01 22:30:00,(35.941954716923114-130.4093254102866j)
2020-01-01 22:45:00,(34.26280222688336-132.38596304734781j)
2020-01-01 23:00:00,(29.220999300233846-139.2660063431906j)
2020-01-01 23:15:00,(28.209922473547856-140.6338751757163j)
2020-01-01 23:30:00,(27.767200212900317-141.23932782261488j)
2020-01-01 23:45:00,(28.512669713542472-140.2373107075555j)
