Timestamp,Circuit.feeder_p2udt3761-p2uhs2_1247x__Losses
2020-01-01 00:00:00,(97790.98209914878+132927.67072414156j)
2020-01-01 00:15:00,(97624.37223120316+132527.64250417528j)
2020-01-01 00:30:00,(97508.33763232858+132219.69482667607j)
2020-01-01 00:45:00,(98093.88361507047+134287.16756302275j)
2020-01-01 01:00:00,(97769.43132929194+133175.2881171607j)
2020-01-01 01:15:00,(97423.01556111645+131962.72156687878j)
2020-01-01 01:30:00,(97415.92498170673+131947.63027661867j)
2020-01-01 01:45:00,(98324.36821763223+134897.58284308307j)
2020-01-01 02:00:00,(101298.01908832257+143138.50199235225j)
2020-01-01 02:15:00,(100025.26648171611+139736.36923228507j)
2020-01-01 02:30:00,(100870.42562819313+142081.458043057j)
2020-01-01 02:45:00,(101672.18768675417+144337.6138171746j)
2020-01-01 03:00:00,(100469.33846457305+140969.98924020573j)
2020-01-01 03:15:00,(100217.21431606497+139158.94894910828j)
2020-01-01 03:30:00,(101047.43749612766+142573.6610493519j)
2020-01-01 03:45:00,(101326.6619354804+143381.55618593958j)
2020-01-01 04:00:00,(101981.46163633683+145175.87284314958j)
2020-01-01 04:15:00,(102361.9771508945+146603.2654111286j)
2020-01-01 04:30:00,(102672.12378987548+147186.24684164685j)
2020-01-01 04:45:00,(103231.02089350857+148628.36327698323j)
2020-01-01 05:00:00,(105969.81655986463+157673.4300262256j)
2020-01-01 05:15:00,(106647.87047640872+159506.33952540503j)
2020-01-01 05:30:00,(106671.63241039177+158872.00818211545j)
2020-01-01 05:45:00,(108991.0641729525+164911.70958149145j)
2020-01-01 06:00:00,(117807.02948647816+189421.13096656714j)
2020-01-01 06:15:00,(119266.1450443563+193148.53386918444j)
2020-01-01 06:30:00,(120830.62311794817+196896.0641043664j)
2020-01-01 06:45:00,(120658.20566405765+195706.39878194488j)
2020-01-01 07:00:00,(119534.84952867932+190463.76174978673j)
2020-01-01 07:15:00,(124901.15842722729+205765.46453100402j)
2020-01-01 07:30:00,(127958.63241502446+212741.30993086824j)
2020-01-01 07:45:00,(128821.7971444525+214939.82938983972j)
2020-01-01 08:00:00,(128569.2490001198+216563.12431862595j)
2020-01-01 08:15:00,(127611.89436838114+213492.4981346213j)
2020-01-01 08:30:00,(132604.562756081+226972.00887878757j)
2020-01-01 08:45:00,(123438.52078192131+202077.217013283j)
2020-01-01 09:00:00,(120879.22294401341+194272.0112332589j)
2020-01-01 09:15:00,(123110.16496922256+200847.5639433192j)
2020-01-01 09:30:00,(121526.77328359552+196220.2296825384j)
2020-01-01 09:45:00,(120941.64374634683+194254.1577708201j)
2020-01-01 10:00:00,(124172.93127407247+202703.08354115678j)
2020-01-01 10:15:00,(123089.96062815668+198570.35475749493j)
2020-01-01 10:30:00,(131170.46106410134+220010.09858075273j)
2020-01-01 10:45:00,(131974.05315770794+222614.35082360686j)
2020-01-01 11:00:00,(132729.18963057653+224644.69615382818j)
2020-01-01 11:15:00,(130233.31935883303+217346.57310895834j)
2020-01-01 11:30:00,(129029.77735444318+214710.811266025j)
2020-01-01 11:45:00,(127330.07726465336+209268.26326880776j)
2020-01-01 12:00:00,(127246.41262808253+210395.01515973447j)
2020-01-01 12:15:00,(127190.93926602327+210534.621539694j)
2020-01-01 12:30:00,(126474.2475694163+208349.55195502148j)
2020-01-01 12:45:00,(127027.56439010953+209576.49063886722j)
2020-01-01 13:00:00,(126686.33450904618+209005.57036384667j)
2020-01-01 13:15:00,(129296.25592458659+216463.19167186148j)
2020-01-01 13:30:00,(129347.23854186291+217089.0596922589j)
2020-01-01 13:45:00,(129235.59387953399+216857.88682099467j)
2020-01-01 14:00:00,(129302.4318451973+216519.20532135284j)
2020-01-01 14:15:00,(125048.736773398+205001.85052506923j)
2020-01-01 14:30:00,(123715.1267009596+201483.53126338456j)
2020-01-01 14:45:00,(128577.49807989153+214195.03165753398j)
2020-01-01 15:00:00,(135980.6181090773+233308.93957282262j)
2020-01-01 15:15:00,(131414.6245887303+222804.86062720045j)
2020-01-01 15:30:00,(131205.27968431378+221928.37808928892j)
2020-01-01 15:45:00,(129337.85699071705+215994.79980884574j)
2020-01-01 16:00:00,(126543.66557331229+209712.73159894356j)
2020-01-01 16:15:00,(121481.54944649513+196327.86403449532j)
2020-01-01 16:30:00,(124939.1854028973+206628.67832983652j)
2020-01-01 16:45:00,(124504.52265612755+204521.9291409448j)
2020-01-01 17:00:00,(127990.23243690627+213648.33041621812j)
2020-01-01 17:15:00,(127496.61375453052+212338.97665985028j)
2020-01-01 17:30:00,(128593.3909414773+215471.91238298456j)
2020-01-01 17:45:00,(134167.58287291476+227954.76518501775j)
2020-01-01 18:00:00,(136277.2751185753+233393.59185578456j)
2020-01-01 18:15:00,(129622.76580860303+218141.27282434006j)
2020-01-01 18:30:00,(126870.33574168997+212187.92409261697j)
2020-01-01 18:45:00,(123015.48774256333+200420.49766333593j)
2020-01-01 19:00:00,(118609.89224072751+188107.2752504565j)
2020-01-01 19:15:00,(120443.08422068978+193173.9035032804j)
2020-01-01 19:30:00,(121847.39987904337+196901.61307135609j)
2020-01-01 19:45:00,(119605.75904376747+191700.16674443343j)
2020-01-01 20:00:00,(116610.6167316433+184934.51062331407j)
2020-01-01 20:15:00,(118843.55561788511+191562.50963301375j)
2020-01-01 20:30:00,(118189.68448379797+191070.52049169433j)
2020-01-01 20:45:00,(113463.7058026469+177347.252637937j)
2020-01-01 21:00:00,(112555.06219740592+174658.39660534248j)
2020-01-01 21:15:00,(111840.79549432291+173951.86169045384j)
2020-01-01 21:30:00,(111473.24577276155+172750.32806861054j)
2020-01-01 21:45:00,(108263.90019435184+163263.60167969659j)
2020-01-01 22:00:00,(105397.57802722072+155471.98599092805j)
2020-01-01 22:15:00,(103108.07169968862+149805.1324002169j)
2020-01-01 22:30:00,(98515.76454124467+136953.97317174118j)
2020-01-01 22:45:00,(94217.99491816349+124242.19874607034j)
2020-01-01 23:00:00,(91690.5463940544+118155.22069462884j)
2020-01-01 23:15:00,(90010.58372039466+113531.10529863158j)
2020-01-01 23:30:00,(89050.4734495143+111175.3846805004j)
2020-01-01 23:45:00,(86259.90120726827+103771.02761651824j)
