Timestamp,Circuit.feeder_idt226-ihs3_1247x__TotalPower
2020-01-01 00:00:00,(-1196.0194656838032+81.92195907409669j)
2020-01-01 00:15:00,(-1223.0930290382016+70.2892605354472j)
2020-01-01 00:30:00,(-1235.5124914440607+69.66429408353615j)
2020-01-01 00:45:00,(-1239.8164456929096+72.08471195994976j)
2020-01-01 01:00:00,(-1192.7731265146301+104.90399431349512j)
2020-01-01 01:15:00,(-1240.813547167182+70.70699978676545j)
2020-01-01 01:30:00,(-1235.8045004665717+72.14537909452172j)
2020-01-01 01:45:00,(-1247.4625155509414+64.75236060437447j)
2020-01-01 02:00:00,(-1240.720092891641+70.11651728994877j)
2020-01-01 02:15:00,(-1184.2568677879171+111.71646293276054j)
2020-01-01 02:30:00,(-1275.3823948248732+60.255765232793635j)
2020-01-01 02:45:00,(-1289.2532092383271+60.81960507657238j)
2020-01-01 03:00:00,(-1305.081120426991+61.87117593429917j)
2020-01-01 03:15:00,(-1341.3750842511224+53.259650003596505j)
2020-01-01 03:30:00,(-1311.661314748001+91.71820930639221j)
2020-01-01 03:45:00,(-1426.966451034436+44.841878944789535j)
2020-01-01 04:00:00,(-1501.9490323699326+29.446666629770814j)
2020-01-01 04:15:00,(-1565.166389205944+20.04757357244398j)
2020-01-01 04:30:00,(-1646.2295706758343+2.4956599669419774j)
2020-01-01 04:45:00,(-1708.4684216147687+1.9529558294944656j)
2020-01-01 05:00:00,(-1884.8726665996062-65.70733866949874j)
2020-01-01 05:15:00,(-2018.194956210635-91.83679541024752j)
2020-01-01 05:30:00,(-2169.157242711915-119.00643826439318j)
2020-01-01 05:45:00,(-2292.68206516995-137.3415725030327j)
2020-01-01 06:00:00,(-2370.7219944049434-130.12698494675942j)
2020-01-01 06:15:00,(-2564.052112004392-198.9623510767845j)
2020-01-01 06:30:00,(-2680.034014915721-214.73266718212435j)
2020-01-01 06:45:00,(-2781.1453457589664-220.17477399305562j)
2020-01-01 07:00:00,(-2957.672457682144-236.45855656485674j)
2020-01-01 07:15:00,(-3101.391088045576-207.3706460114155j)
2020-01-01 07:30:00,(-3462.2763146887187-297.11545989721975j)
2020-01-01 07:45:00,(-3473.3022109110325-329.28644467357503j)
2020-01-01 08:00:00,(-3552.4231853865067-438.78188385394185j)
2020-01-01 08:15:00,(-3513.502887356525-513.3717322717854j)
2020-01-01 08:30:00,(-3357.0638485584527-567.6343634527582j)
2020-01-01 08:45:00,(-3207.3843830817686-608.2058948299173j)
2020-01-01 09:00:00,(-2995.8640855488834-644.4144752543317j)
2020-01-01 09:15:00,(-2832.0303882753115-681.9046867967593j)
2020-01-01 09:30:00,(-2571.807766855052-717.5191912020337j)
2020-01-01 09:45:00,(-2373.357820042667-765.6093691844402j)
2020-01-01 10:00:00,(-2200.3231829328292-805.4497049412001j)
2020-01-01 10:15:00,(-2039.2601714831292-840.2124216619306j)
2020-01-01 10:30:00,(-1893.862150268566-877.4470384964005j)
2020-01-01 10:45:00,(-1777.7040450166912-907.9348740231673j)
2020-01-01 11:00:00,(-1669.023849950281-934.7302017118957j)
2020-01-01 11:15:00,(-1591.1997891276571-958.6368329118518j)
2020-01-01 11:30:00,(-1525.4706478137598-981.7944604608263j)
2020-01-01 11:45:00,(-1487.0395188687637-1004.6262097605195j)
2020-01-01 12:00:00,(-1434.9337962783175-1015.8377713517411j)
2020-01-01 12:15:00,(-1412.30364256668-1019.0503599325949j)
2020-01-01 12:30:00,(-1377.318022361143-1005.5165582520741j)
2020-01-01 12:45:00,(-1358.4094805386696-988.6095442752193j)
2020-01-01 13:00:00,(-1370.788890638934-976.7417690653696j)
2020-01-01 13:15:00,(-1383.1736378431688-956.2785558733664j)
2020-01-01 13:30:00,(-1403.9025044514108-939.5916072553086j)
2020-01-01 13:45:00,(-1435.383278176786-917.3849482528162j)
2020-01-01 14:00:00,(-1449.6946632448203-878.1640717193391j)
2020-01-01 14:15:00,(-1509.2346709509586-848.0314058669849j)
2020-01-01 14:30:00,(-1542.77776560566-807.1733078155974j)
2020-01-01 14:45:00,(-1603.199288566811-769.0882477298026j)
2020-01-01 15:00:00,(-1696.8848574558524-728.6474185809311j)
2020-01-01 15:15:00,(-1808.5027764431277-681.6994859111333j)
2020-01-01 15:30:00,(-1922.8785543362173-633.8926884581954j)
2020-01-01 15:45:00,(-2065.8353836179363-582.524075610519j)
2020-01-01 16:00:00,(-2242.2613998881793-541.2958338053891j)
2020-01-01 16:15:00,(-2497.4504691635775-495.5796581554687j)
2020-01-01 16:30:00,(-2792.811701000593-457.32113174930595j)
2020-01-01 16:45:00,(-3093.551183041739-419.8479275638886j)
2020-01-01 17:00:00,(-3239.8761448422038-339.12849055285704j)
2020-01-01 17:15:00,(-3362.5548095393815-307.1009444776896j)
2020-01-01 17:30:00,(-3455.6256440051134-269.5809245664478j)
2020-01-01 17:45:00,(-3441.3073574468576-253.81031846686318j)
2020-01-01 18:00:00,(-3400.350321762572-225.1130100098503j)
2020-01-01 18:15:00,(-3341.642029693175-198.77611668165466j)
2020-01-01 18:30:00,(-3354.8276471219037-197.45235487386753j)
2020-01-01 18:45:00,(-3361.1798092180843-194.2079525484838j)
2020-01-01 19:00:00,(-3329.3363249543836-185.0803068642194j)
2020-01-01 19:15:00,(-3308.5180867976455-184.4182032480336j)
2020-01-01 19:30:00,(-3238.296140692145-155.3665590939742j)
2020-01-01 19:45:00,(-3148.738181185392-117.15470151038997j)
2020-01-01 20:00:00,(-3062.966698116891-90.35531994084712j)
2020-01-01 20:15:00,(-2954.2050370416882-69.90407743225293j)
2020-01-01 20:30:00,(-2864.196198988505-86.96315227142323j)
2020-01-01 20:45:00,(-2695.8073147081045-73.89335211375945j)
2020-01-01 21:00:00,(-2450.6261987231733-44.840258968419306j)
2020-01-01 21:15:00,(-2254.4224521681617-11.86215946112602j)
2020-01-01 21:30:00,(-1992.2930772886561+45.95175746963432j)
2020-01-01 21:45:00,(-1873.8132066602675+15.030663419591447j)
2020-01-01 22:00:00,(-1679.9828903079392+37.29651247892561j)
2020-01-01 22:15:00,(-1523.8706544704824+45.605998547147614j)
2020-01-01 22:30:00,(-1408.3662509997407+55.58863866193553j)
2020-01-01 22:45:00,(-1263.1179359620537+103.6813832492088j)
2020-01-01 23:00:00,(-1293.784819415333+57.60776006521059j)
2020-01-01 23:15:00,(-1265.548099654432+61.82851383005409j)
2020-01-01 23:30:00,(-1245.8638365816423+67.5912960113398j)
2020-01-01 23:45:00,(-1253.8929683383187+59.75870506636121j)
